evidence	article_title	abstract_text	evidence.type	relevant
28052099	Effects of Thermal Regimes, Starvation and Age on Heat Tolerance of the Parthenium Beetle Zygogramma bicolorata (Coleoptera: Chrysomelidae) following Dynamic and Static Protocols.	Temperature and resource availability are key elements known to limit the occurrence and survival of arthropods in the wild. In the current era of climate change, critical thermal limits and the factors affecting these may be of particular importance. We therefore investigated the critical thermal maxima (CTmax) of adult Zygogramma bicolorata beetles, a biological control agent for the invasive plant Parthenium hysterophorus, in relation to thermal acclimation, hardening, age, and food availability using static (constant) and dynamic (ramping) protocols. Increasing temperatures and exposure times reduced heat survival. In general, older age and lack of food reduced heat tolerance, suggesting an important impact of resource availability. Acclimation at constant temperatures did not affect CTmax, while fluctuating thermal conditions resulted in a substantial increase. Hardening at 33°C and 35°C improved heat survival in fed young and mid-aged but only partly in old beetles, while CTmax remained unaffected by hardening throughout. These findings stress the importance of methodology when assessing heat tolerance. Temperature data recorded in the field revealed that upper thermal limits are at least occasionally reached in nature. Our results therefore suggest that the occurrence of heat waves may influence the performance and survival of Z. bicolorata, potentially impacting on its field establishment and effectiveness as a biological control agent.	NA	0
28052098	IDH1 R132H Mutation Enhances Cell Migration by Activating AKT-mTOR Signaling Pathway, but Sensitizes Cells to 5-FU Treatment as NADPH and GSH Are Reduced.	AIM OF STUDY: Mutations of isocitrate dehydrogenase 1 and 2 (IDH1 and IDH2) gene were recently discovered in vast majority of World Health Organization (WHO) grade II/III gliomas. This study is to understand the effects of IDH1 R132H mutation in gliomagenesis and to develop new strategies to treat glioma with IDH1 R132H mutation.MATERIALS AND METHODS: Over expression of IDH1 R132H in U87MG cells was done by transfecting cells with IDH1 R132H plasmid. MTT assay, scratch repair assay and western blot were performed to study effects of IDH1 R132H mutation on cell proliferation, migration, regulating AKT-mTOR signaling pathway and cell death respectively. NADP+/NADPH and GSH quantification assays were performed to evaluate effects of IDH1 R132H mutation on the production of antioxidant NADPH and GSH.RESULTS: We found that over expression of IDH1 R132H mutation decreased cell proliferation consistent with previous reports; however, it increased cell migration and enhanced AKT-mTOR signaling pathway activation. Mutations in isocitrate dehydrogenase (IDH) 1 also change the function of the enzymes and cause them to produce 2-hydroxyglutarate and not produce NADPH. We tested the level of NADPH and GSH and demonstrated that IDH1 R132H mutant stable cells had significantly low NADPH and GSH level compared to control or IDH1 wild type stable cells. The reduced antioxidants (NADPH and GSH) sensitized U87MG cells with IDH R132H mutant to 5-FU treatment.CONCLUSION: Our study highlights the important role of IHD1 R132H mutant in up- regulating AKT-mTOR signaling pathway and enhancing cell migration. Furthermore, we demonstrate that IDH1 R132H mutation affects cellular redox status and sensitizes gliomas cells with IDH1 R132H mutation to 5FU treatment.	NA	0
28052097	The Natural Flavonoid Fisetin Inhibits Cellular Proliferation of Hepatic, Colorectal, and Pancreatic Cancer Cells through Modulation of Multiple Signaling Pathways.	Digestive cancers are major causes of mortality and morbidity worldwide. Fisetin, a naturally occurring flavonoid, has been previously shown anti-proliferative, anti-cancer, neuroprotective, and antioxidant activities. In our study, the anti-tumor activities in addition to regulatory effects of fisetin on some cancer cell lines were investigated. Data presented here showed that fisetin induces growth inhibition, and apoptosis in hepatic (HepG-2), colorectal (Caco-2) and pancreatic (Suit-2) cancer cell lines. Gene expression results showed that 1307 genes were significantly regulated in their expression in hepatic and pancreatic cell lines. 350 genes were commonly up-regulated and 353 genes were commonly down-regulated. Additionally, 604 genes were oppositely expressed in both tumor cells. CDK5 signaling, NRF2-mediated oxidative stress response, glucocorticoid signaling, and ERK/MAPK signaling were among most prominent signaling pathways modulating the growth inhibitory effects of fisetin on hepatic and pancreatic cancer cells. The present analysis showed, for the first time, that the anti-tumor effect of fisetin was mediated mainly through modulation of multiple signaling pathways and via activation of CDKN1A, SEMA3E, GADD45B and GADD45A and down-regulation of TOP2A, KIF20A, CCNB2 and CCNB1 genes.	NA	0
28052096	Sex Determination from Fragmented and Degenerated DNA by Amplified Product-Length Polymorphism Bidirectional SNP Analysis of Amelogenin and SRY Genes.	Sex determination is important in archeology and anthropology for the study of past societies, cultures, and human activities. Sex determination is also one of the most important components of individual identification in criminal investigations. We developed a new method of sex determination by detecting a single-nucleotide polymorphism in the amelogenin gene using amplified product-length polymorphisms in combination with sex-determining region Y analysis. We particularly focused on the most common types of postmortem DNA damage in ancient and forensic samples: fragmentation and nucleotide modification resulting from deamination. Amplicon size was designed to be less than 60 bp to make the method more useful for analyzing degraded DNA samples. All DNA samples collected from eight Japanese individuals (four male, four female) were evaluated correctly using our method. The detection limit for accurate sex determination was determined to be 20 pg of DNA. We compared our new method with commercial short tandem repeat analysis kits using DNA samples artificially fragmented by ultraviolet irradiation. Our novel method was the most robust for highly fragmented DNA samples. To deal with allelic dropout resulting from deamination, we adopted &quot;bidirectional analysis,&quot; which analyzed samples from both sense and antisense strands. This new method was applied to 14 Jomon individuals (3500-year-old bone samples) whose sex had been identified morphologically. We could correctly identify the sex of 11 out of 14 individuals. These results show that our method is reliable for the sex determination of highly degenerated samples.	NA	0
28052095	Metabolomic Profiling in Individuals with a Failing Kidney Allograft.	BACKGROUND: Alteration of certain metabolites may play a role in the pathophysiology of renal allograft disease.METHODS: To explore metabolomic abnormalities in individuals with a failing kidney allograft, we analyzed by liquid chromatography-mass spectrometry (LC-MS/MS; for ex vivo profiling of serum and urine) and two dimensional correlated spectroscopy (2D COSY; for in vivo study of the kidney graft) 40 subjects with varying degrees of chronic allograft dysfunction stratified by tertiles of glomerular filtration rate (GFR; T1, T2, T3). Ten healthy non-allograft individuals were chosen as controls.RESULTS: LC-MS/MS analysis revealed a dose-response association between GFR and serum concentration of tryptophan, glutamine, dimethylarginine isomers (asymmetric [A]DMA and symmetric [S]DMA) and short-chain acylcarnitines (C4 and C12), (test for trend: T1-T3 = p&lt;0.05; p = 0.01; p&lt;0.001; p = 0.01; p = 0.01; p&lt;0.05, respectively). The same association was found between GFR and urinary levels of histidine, DOPA, dopamine, carnosine, SDMA and ADMA (test for trend: T1-T3 = p&lt;0.05; p&lt;0.01; p = 0.001; p&lt;0.05; p = 0.001; p&lt;0.001; p&lt;0.01, respectively). In vivo 2D COSY of the kidney allograft revealed significant reduction in the parenchymal content of choline, creatine, taurine and threonine (all: p&lt;0.05) in individuals with lower GFR levels.CONCLUSIONS: We report an association between renal function and altered metabolomic profile in renal transplant individuals with different degrees of kidney graft function.	NA	0
28052094	Association between Polymorphisms in Antioxidant Genes and Inflammatory Bowel Disease.	Inflammation is the driving force in inflammatory bowel disease (IBD) and its link to oxidative stress and carcinogenesis has long been accepted. The antioxidant system of the intestinal mucosa in IBD is compromised resulting in increased oxidative injury. This defective antioxidant system may be the result of genetic variants in antioxidant genes, which can represent susceptibility factors for IBD, namely Crohn's disease (CD) and ulcerative colitis (UC). Single nucleotide polymorphisms (SNPs) in the antioxidant genes SOD2 (rs4880) and GPX1 (rs1050450) were genotyped in a Portuguese population comprising 436 Crohn's disease and 367 ulcerative colitis patients, and 434 healthy controls. We found that the AA genotype in GPX1 is associated with ulcerative colitis (OR = 1.93, adjusted P-value = 0.037). Moreover, we found nominal significant associations between SOD2 and Crohn's disease susceptibility and disease subphenotypes but these did not withstand the correction for multiple testing. These findings indicate a possible link between disease phenotypes and antioxidant genes. These results suggest a potential role for antioxidant genes in IBD pathogenesis and should be considered in future association studies.	NA	0
28052093	Bone Morphogenetic Protein-9 Enhances Osteogenic Differentiation of Human Periodontal Ligament Stem Cells via the JNK Pathway.	Bone morphogenetic protein-9 (BMP9) shows great osteoinductive potential in bone regeneration. Periodontal ligament stem cells (PDLSCs) with multi-differentiation capability and low immunogenicity are increasingly used as seed cells for periodontal regenerative therapies. In the present study, we investigated the potent osteogenic activity of BMP9 on human PDLSCs (hPDLSCs), in which the c-Jun N-terminal kinase (JNK) pathway is possibly involved. Our results showed that JNK inhibition by the specific inhibitor SP600125 or adenovirus expressing small interfering RNA (siRNA) targeting JNK (AdR-si-JNK) significantly decreased BMP9-induced gene and protein expression of early and late osteogenic markers, such as runt-related transcription factor 2 (Runx2), alkaline phosphatase (ALP), osteopontin (OPN), and osteocalcin (OCN), in hPDLSCs. We also confirmed the in-vivo positive effect of JNKs on ectopic bone formation induced by hPDLSCs injected into the musculature of athymic nude mice and BMP9 ex vivo gene delivery. For the cellular mechanism, we found that BMP9 activated the phosphorylation of JNKs and Smad2/3, and that JNKs may engage in cross-talk with the Smad2/3 pathway in BMP9-mediated osteogenesis.	NA	0
28052083	Pregnancy Outcomes after Treatment for Cervical Cancer Precursor Lesions: An Observational Study.	OBJECTIVE: To examine whether surgical procedures involving the uterine cervix were associated with pregnancy outcomes, including preterm birth, low birth weight, cesarean delivery and pregnancy loss.DESIGN: Population-based observational study nested in retrospective matched cohort.SETTING: Kaiser Permanente Northwest integrated health plan in Oregon/Washington, U.S.A.POPULATION: Female health plan members age 14-53 years with documented pregnancies from 1998-2009. Women with prior excisional and ablative cervical surgical procedures (N = 322) were compared to women unexposed to cervical procedures (N = 4,307) and, separately, to those having undergone only diagnostic/biopsy procedures (N = 847).METHODS: Using log-linear regression models, we examined risk of adverse pregnancy outcomes in relation to prior excisional or ablative cervical surgical procedures. We stratified excisional procedures by excision thickness. We evaluated for confounding by age, body mass index, race, smoking history, previous preterm birth, and parity.RESULTS: We found a positive association between excisional treatment &gt; = 1.0 cm and the outcomes preterm birth and low birth weight (preterm birth unadjusted risk ratio [RR] = 2.15, 95% confidence interval [CI] 1.16-3.98 for excisions ≥1.0 cm compared to unexposed women), particularly in women who delivered within one year of surgery (RR = 3.26, 95% CI 1.41-7.53). There was no clear association between excisional treatment and cesarean delivery, and treated women did not have a substantially higher risk of dysfunctional labor. Ablative treatment was not associated with low birth weight, preterm birth, or cesarean delivery but was associated with pregnancy loss (RR = 1.43, 95% CI 1.05-1.93 vs. unexposed women). Analyses using the diagnostic procedures comparison group produced similar results.CONCLUSION: Women with &gt; = 1.0 cm excisional treatment had elevated risk of preterm birth and low birth weight when compared to unexposed women and women with cervical diagnostic procedures. This suggests that increased risk derives from the treatment itself, not from other characteristics. The observed association between pregnancy loss and ablative surgical treatment requires further investigation.	NA	0
28050012	PPAR-delta promotes survival of chronic lymphocytic leukemia cells in energetically unfavorable conditions.	Targeting the mechanisms that allow Chronic Lymphocytic Leukemia (CLL) cells to survive in harsh cancer microenvironments should improve patient outcomes. The nuclear receptor peroxisome proliferator activated receptor delta (PPARδ) sustains other cancers and in silico analysis showed higher PPARD expression in CLL cells than normal lymphocytes and other hematologic cancers. A direct association was found between PPARδ protein levels in CLL cells and clinical score. Transgenic expression of PPARδ increased the growth and survival of CD5(+) Daudi cells and primary CLL cells in stressful conditions including exhausted tissue culture media, low extracellular glucose, hypoxia, and exposure to cytotoxic drugs. Glucocorticoids and synthetic PPARδ agonists up-regulated PPARD expression and also protected Daudi and primary CLL cells from metabolic stressors. Survival in low glucose was related to increased antioxidant expression, substrate utilization, and mitochondrial performance and was reversed by genetic deletion and synthetic PPARδ antagonists. These findings suggest PPARδ conditions CLL cells to survive in harsh microenvironmental conditions by reducing oxidative stress and increasing metabolic efficiency. Targeting PPARδ may be beneficial in the treatment of CLL.Leukemia accepted article preview online, 04 January 2017. doi:10.1038/leu.2016.395.	NA	0
28052061	Integrated genomic characterization of oesophageal carcinoma.	Oesophageal cancers are prominent worldwide; however, there are few targeted therapies and survival rates for these cancers remain dismal. Here we performed a comprehensive molecular analysis of 164 carcinomas of the oesophagus derived from Western and Eastern populations. Beyond known histopathological and epidemiologic distinctions, molecular features differentiated oesophageal squamous cell carcinomas from oesophageal adenocarcinomas. Oesophageal squamous cell carcinomas resembled squamous carcinomas of other organs more than they did oesophageal adenocarcinomas. Our analyses identified three molecular subclasses of oesophageal squamous cell carcinomas, but none showed evidence for an aetiological role of human papillomavirus. Squamous cell carcinomas showed frequent genomic amplifications of CCND1 and SOX2 and/or TP63, whereas ERBB2, VEGFA and GATA4 and GATA6 were more commonly amplified in adenocarcinomas. Oesophageal adenocarcinomas strongly resembled the chromosomally unstable variant of gastric adenocarcinoma, suggesting that these cancers could be considered a single disease entity. However, some molecular features, including DNA hypermethylation, occurred disproportionally in oesophageal adenocarcinomas. These data provide a framework to facilitate more rational categorization of these tumours and a foundation for new therapies.	diagnostic	1
